id,standard,sections,pdf_pages,requirement,applicability,status,code,tests,evidence_level,finding,impact,closure
C1-012,CTVS-1,4.4; 5.1; 5.2,16; 17,"For ADA backing, State lovelace is exactly A plus F plus R and one STATE token.",profile0,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:89; reference/packages/onchain/lib/ctvs/ledger.ak:97; reference/packages/onchain/lib/ctvs/ledger.ak:116,reference/implementations/ctvs1/onchain/validators/state_test.ak:190 whitepaper_ada_deposit_separates_reserves; reference/packages/onchain/lib/tests/validation_test.ak:148 state_checks_physical_sum_for_each_underlying,retained_test,"Exact State value construction separates economic backing, accrued fees and storage.",A reserve or fee balance cannot silently purchase shares.,Retain native/ADA property and signed cases.
C1-013,CTVS-1,5.2,17,"For native backing, State holds exactly A plus F underlying, R ADA and one STATE token, with no extra native assets.",profile0,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:89; reference/packages/onchain/lib/ctvs/ledger.ak:97; reference/packages/onchain/lib/ctvs/ledger.ak:116,reference/implementations/ctvs1/onchain/validators/state_test.ak:321 rejects_wrong_state_value; reference/implementations/ctvs1/client/test/direct.test.ts:68 deposit closed value equation and share payment,retained_test,Equality to a freshly computed Value rejects both unexplained excess and deficit in the protected State.,Donated or spoofed script-address outputs cannot inflate the authentic State accounting.,Add a named extra-unrelated-token State fixture to supplement existing wrong-value rejection.
C1-014,CTVS-1,5.1; 6.2; 7.1,16; 18; 20,Accrued fees are liabilities outside share backing and conversion denominators.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:29; reference/packages/onchain/lib/ctvs/math.ak:21; reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86,reference/implementations/ctvs1/onchain/validators/state_test.ak:172 whitepaper_redeem_and_fee_collection; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent quote and transition oracle,executed_probe,"Both kernels price from A and S, accrue fees separately, and debit gross backing on exit while custody falls by net payout.",No fee double counting was found in the inspected formulas or independent bounded probes.,Retain gross/net/fee conservation probes and verify longer ledger traces.
C1-015,CTVS-1,4.4; 5.2; 7.3,16; 17; 21,Normal operations preserve storage R; only positive reserve top-up changes R.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86; reference/packages/onchain/lib/ctvs/state_core.ak:144; reference/packages/onchain/lib/ctvs/state_core.ak:155,reference/implementations/ctvs1/onchain/validators/state_test.ak:336 rejects_reserve_drain; reference/implementations/ctvs1/onchain/validators/state_test.ak:268 pause_and_topup_preserve_economics; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-onchain.ak:70 c1_topup_cannot_add_backing,executed_probe,Direct and fee/pause successors preserve R; reserve branch derives R plus the selected amount and no economic changes.,State storage cannot be drained through a normal action or treated as backing.,Retain positive and negative top-up checks.
C1-016,CTVS-1,5.2; 8.3,17; 23; 24,"Network fees, output top-ups and collateral must not reduce any protected backing, fee or storage obligation.",profile0,aligned,reference/packages/onchain/lib/ctvs/ledger.ak:116; reference/packages/onchain/lib/ctvs/ledger.ak:136; reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86,"reference/implementations/ctvs1/onchain/validators/state_test.ak:336 rejects_reserve_drain; reference/implementations/ctvs1/client/test/direct.property.test.ts:7 direct operations conserve underlying liabilities, supply and separately funded ADA",retained_test,Protected State is exact and each economic payout has a fixed minimum/exact token amount. Successful ledger balancing must obtain the rest from external inputs. Failed-transaction collateral is a separate ledger rule.,Source conservation protects vault property; this does not validate all unprotected wallet outputs or collateral exposure.,Complete wallet-effect and collateral checks belong to the integration review and node-backed gate.
C1-017,CTVS-1,5.3; 7.4,17; 21,State supply changes by gross issuance minus extinction and agrees with exact native SHARE mint/burn.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86; reference/packages/onchain/lib/ctvs/state_core.ak:72; reference/packages/onchain/lib/ctvs/state_core.ak:176,reference/implementations/ctvs1/onchain/validators/state_test.ak:161 whitepaper_deposit_real_mint_handler; reference/implementations/ctvs1/onchain/validators/state_test.ak:420 rejects_wrong_mint_quantity; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent quote and transition oracle,executed_probe,"State computes the supply delta; mint vector is exactly that delta, and mint policy points to the actual authentic State spend.",No direct alternate issuance/burn path was found. Whole-ledger supply induction is not independently proved here.,Retain coupled handler tests and independently reconcile supply over ledger histories.
C1-018,CTVS-1,4.4; 5.3,16; 17,Lost or escrowed shares remain participating supply; zero liquid holder balance is not permission to write off supply.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86; reference/packages/onchain/lib/ctvs/state_core.ak:104,,source,Only validated issuance/extinction changes S. No ownership-location counter or lost-share write-off action exists.,Direct accounting cannot reset supply from wallet balances. Async escrow behavior is covered by the CTVS-2 review.,Add transfer/escrow traces to demonstrate unchanged participating supply.
C1-019,CTVS-1,5.4,18,"State contains accounting and pause fields, not an unauthenticated NAV epoch, pending queue count or liquidity oracle.",profile0,aligned,reference/packages/protocol/src/types.ts:44; reference/packages/onchain/lib/ctvs/state_core.ak:104,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-onchain.ak:133 c1_extra_reference_does_not_change_validated_quote,executed_probe,State has the declared fields; conversion uses authenticated A/S. An added non-Config reference does not alter the quote in the isolated compiled probe.,Untrusted external reference data is not a pricing oracle for direct custody.,Keep this profile separate from a managed accepted-report design.
C1-020,CTVS-1,5.1; 6.1,16; 18,Arithmetic uses base-unit integers with exact sufficiently wide intermediates and no display-decimal influence.,profile0,aligned,reference/packages/protocol/src/math/integer.ts:1; reference/packages/onchain/lib/ctvs/math.ak:8; reference/packages/protocol/src/math/quotes.ts:64,reference/packages/protocol/tests/math.test.ts:32 bounds public quantities and excludes unsafe JavaScript numbers; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent quote and transition oracle,executed_probe,TypeScript bigint and Aiken Int preserve integer multiplication/division. Upper-bound probes include virtual and physical quantities near Q_MAX.,No floating point or display-unit dependence was found.,Retain upper-domain and independent rounding probes.
C1-021,CTVS-1,5.4; 6.1,18,Bound individual quantities and aggregate physical custody before execution.,profile0,aligned,reference/packages/onchain/lib/ctvs/validation.ak:232; reference/packages/protocol/src/math/quotes.ts:3; reference/packages/protocol/src/math/integer.ts:2,reference/packages/onchain/lib/tests/validation_test.ak:100 quantity_bounds_are_exact; reference/packages/onchain/lib/tests/validation_test.ak:148 state_checks_physical_sum_for_each_underlying; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 upper-domain comparisons,executed_probe,The A+F+R ADA aggregate and A+F native aggregate are checked in addition to each field; result quantities are bounded.,Individually legal fields cannot jointly exceed the declared physical-value model bound.,Verify stricter active ledger constraints through node-backed transactions.
C1-022,CTVS-1,6.1,18,Invalid profile/domain values must fail explicitly rather than return a usable zero quote.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:3; reference/packages/protocol/src/math/integer.ts:4; reference/packages/onchain/lib/ctvs/validation.ak:186,"reference/packages/protocol/tests/math.test.ts:42 validates fee, virtual supply, cap, pause and physical custody bounds",retained_test,"Invalid profile, fees, virtual supply, quantity bounds and state/cap combinations throw or fail. Wire-version decoding is reviewed separately.",Known zero remains distinguishable from malformed input.,Retain malformed-domain tests; do not imply primitive semantic objects authenticate original wire bytes.
C1-023,CTVS-1,6.1,18,Use immutable virtual assets of one and positive virtual shares in adjusted balances.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:15; reference/packages/protocol/src/math/quotes.ts:29; reference/packages/onchain/lib/ctvs/math.ak:21; reference/packages/onchain/lib/ctvs/validation.ak:186,reference/implementations/ctvs1/onchain/validators/state_test.ak:652 integer_preview_rounding_fixture; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent quote and transition oracle,executed_probe,Both kernels use X=A+1 and Y=S+virtualShares; virtual balances are not added to physical State value.,Virtual accounting does not create spendable assets.,Retain low-balance/residual examples and boundary probes.
C1-024,CTVS-1,6; 6.2,18; 19,Fee-free public conversions are caller-independent and round down by default.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:31; reference/packages/protocol/src/math/quotes.ts:45,"reference/packages/protocol/tests/math.test.ts:75 rounds conversions explicitly and leaves zero mathematical previews available; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:68 price equation unchanged by modes, pauses and fees",executed_probe,"Default conversion signatures take only state, terms and quantity; no caller, fee rate or oracle changes the equation.",Converted values do not depend on who asks.,Retain independent conversion invariance probes.
C1-025,CTVS-1,6.2,18,Explicit up/down conversions implement ceiling/floor of the same rational exchange rate.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:31; reference/packages/protocol/src/math/quotes.ts:45,reference/packages/protocol/tests/math.property.test.ts:37 floor and ceiling conversion enclose the same rational price,retained_test,Both rounding options are explicit and invalid rounding rejects.,Exact-output primitives can round conservatively without modifying default view semantics.,Keep floor/ceiling enclosure tests and independently authored vectors.
C1-026,CTVS-1,6.3; 6.4,19; 20,Conversion of zero remains a valid zero view even though zero economic execution is invalid.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:38; reference/packages/protocol/src/math/quotes.ts:62; reference/packages/protocol/src/math/transition.ts:24,reference/packages/protocol/tests/math.test.ts:75 rounds conversions explicitly and leaves zero mathematical previews available; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 zero inputs in equation oracle,executed_probe,Conversion/preview accepts zero; transition/onchain actions require positive amounts and positive economic results.,A legitimate zero mathematical result is not confused with executable zero issuance.,Retain distinct view/execute API documentation and zero tests.
C1-027,CTVS-1,6.3,19,"Fees are markup: feeRaw=ceil(x*b/B), feeTotal=ceil(x*b/(B+b)), with rates below B.",profile0,aligned,reference/packages/protocol/src/math/integer.ts:16; reference/packages/onchain/lib/ctvs/math.ak:13; reference/packages/onchain/lib/ctvs/validation.ak:192,reference/packages/protocol/tests/math.test.ts:23 distinguishes fee charged on net from fee included in gross; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 independent quotient/remainder fee oracle,executed_probe,The implementation matches the specified fee-inclusive inverse and excludes b=10000.,No percentage-of-gross fee substitution was found.,Retain 0/1/100/5000/9999 bps boundary vectors.
C1-028,CTVS-1,6.3,19,Gross deposit admits d-feeTotal(d) as backing and issues floor(net*Y/X) shares.,profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:21; reference/packages/protocol/src/math/quotes.ts:65,reference/packages/onchain/lib/tests/math_properties.ak:64 deposit_quote_preserves_gross_assets_and_rounds_against_dilution; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 deposit equation oracle,executed_probe,Both kernels match the deposit equation exactly in inspected source and bounded independent probes.,Deposits never count entry fees as share backing.,Retain independent vectors and compiled execution checks.
C1-029,CTVS-1,6.3; 7.4,19; 21,Deposit must enforce the user minimum shares onchain.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:141; reference/implementations/ctvs1/client/src/direct.ts:48,reference/implementations/ctvs1/onchain/validators/state_test.ak:371 rejects_minimum_above_quote; reference/testing/integration/ctvs1/lifecycle.test.ts:82 rejects %s in the compiled validator [minimum],retained_test,Minimum shares comes from redeemer and is checked against the recomputed quote.,Later price changes cannot silently lower the signed minimum.,Retain balanced negative and contention/rebuild tests.
C1-030,CTVS-1,6.3,19,"Exact-share mint requires ceiling assets plus feeRaw, and issues exactly the requested shares.",profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:27; reference/packages/protocol/src/math/quotes.ts:71,reference/packages/onchain/lib/tests/math_properties.ak:135 exact_share_mint_requires_sufficient_backing_increase; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 mint equation oracle,executed_probe,Exact-share mint uses ceiling net assets and adds the markup.,Requested shares are never priced with floor input rounding.,Retain non-integral ratio and integer-boundary cases.
C1-031,CTVS-1,6.3; 7.4,19; 21,Exact-share mint must enforce maximum gross assets onchain.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:161; reference/implementations/ctvs1/client/src/direct.ts:48,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-onchain.ak:100 c1_exact_share_mint_rejects_bound_one_unit_too_small,executed_probe,Isolated compiled probe rejects a gross maximum one unit below the required 101 assets.,The mint branch cannot exceed the user maximum even if outputs balance.,Add a signed balanced mint maximum-negative integration case.
C1-032,CTVS-1,6.3,19,Exact-net-asset withdrawal debits net plus feeRaw and burns ceiling(gross*Y/X) shares.,profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:33; reference/packages/protocol/src/math/quotes.ts:77,reference/packages/onchain/lib/tests/math_properties.ak:147 exact_asset_withdrawal_requires_sufficient_share_extinction; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 withdraw equation oracle,executed_probe,Withdrawal recomputes fee and conservative share extinction.,The requested payout is not funded by understating burned shares.,Retain ratio/fee boundary coverage.
C1-033,CTVS-1,6.3; 7.4,19; 21,Exact-net withdrawal must enforce maximum burned shares onchain.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:175; reference/implementations/ctvs1/client/src/direct.ts:48,docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-onchain.ak:119 c1_exact_asset_withdrawal_rejects_bound_one_unit_too_small,executed_probe,Isolated compiled probe rejects maximum 100 for a withdrawal requiring 101 shares.,User share-debit maximum is enforced independently of exact payout.,Add signed balanced withdrawal maximum-negative evidence.
C1-034,CTVS-1,6.3,19,"Exact-share redemption computes floor(shares*X/Y), removes feeTotal and pays the net result.",profile0,aligned,reference/packages/onchain/lib/ctvs/math.ak:44; reference/packages/protocol/src/math/quotes.ts:83,reference/packages/onchain/lib/tests/math_properties.ak:80 redeem_quote_preserves_gross_assets_and_never_debits_more_than_backing; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 redeem equation oracle,executed_probe,The implementation applies floor then the fee-inclusive inverse.,Redemption never pays virtual assets directly or leaves an exit fee in shareholder backing.,Retain full-redemption/residual boundary vectors.
C1-035,CTVS-1,6.3; 7.4,19; 21,Redemption must enforce the user minimum net assets onchain.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:189; reference/implementations/ctvs1/client/src/direct.ts:48,reference/packages/protocol/tests/math.test.ts:89 preserves exact accounting for redeem; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 redeem transition acceptance oracle,executed_probe,"Minimum net assets is checked after fee computation. Retained signed negative corpus exercises the generic deposit minimum, not a distinct redeem minimum case.",User bounds are source-enforced but per-operation signed negative coverage is incomplete.,Add a signed balanced redeem minimum-negative case.
C1-036,CTVS-1,6.3; 6.4,19; 20,"Reject zero input, zero issued shares and zero net economic output; state-action amounts and user bounds are positive Q values.",profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:57; reference/packages/onchain/lib/ctvs/validation.ak:349; reference/packages/protocol/src/math/transition.ts:24,reference/implementations/ctvs1/onchain/validators/state_test.ak:386 rejects_zero_economic_output; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 zero and off-by-one transition predicates,executed_probe,Client transition and onchain action/quote validation enforce positive execution quantities; fee may be zero.,Dust cannot execute as fee-only zero issuance or empty redemption.,Retain explicit zero checks per action and upper-domain cases.
C1-037,CTVS-1,6; 6.3,18; 19,Mathematical preview and executable feasibility must remain distinguishable.,profile0,aligned,reference/packages/protocol/src/math/quotes.ts:59; reference/packages/protocol/src/math/quotes.ts:101; reference/packages/protocol/src/math/transition.ts:24,reference/packages/protocol/tests/math.test.ts:112 enforces economic execution limits separately from previews,retained_test,"Preview returns execution unchecked; transition applies mode, pause, user bounds and successor feasibility separately.",An arithmetic result is not mislabeled as submit-ready by this API.,Preserve distinction when adding provider quote envelopes.
C1-038,CTVS-1,6.2,19,"At zero supply, display bootstrap or residual status instead of a physical-backing division by zero.",profile0,missing,reference/packages/protocol/src/types.ts:44; reference/packages/protocol/src/types.ts:98,,source,"Arithmetic remains defined through virtual balances, but no snapshot/status presentation API reports bootstrap versus residual.",Integrators cannot obtain the required zero-supply status from the provided reference read surface.,"Add a snapshot status derived from S=0 and A, with tests for fresh bootstrap and post-redemption residual."
C1-039,CTVS-1,6.4,19,Admission must respect immutable maximum backing after net fee-exclusive assets are admitted.,profile0,aligned,reference/packages/onchain/lib/ctvs/state_core.ak:180; reference/packages/protocol/src/math/quotes.ts:19; reference/packages/protocol/src/math/limits.ts:35,reference/packages/protocol/tests/math.test.ts:112 enforces economic execution limits separately from previews; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 successor cap acceptance oracle,executed_probe,The cap is applied to successor backing; input includes fees but only net assets consume backing capacity.,Fees cannot disguise backing-cap overruns or incorrectly consume net backing headroom.,Retain fee-boundary cap vectors.
C1-040,CTVS-1,6.4; 7.1,19; 20,Exits require sufficient pre-existing participating shares and gross backing while preserving fees and storage.,profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:95; reference/packages/protocol/src/math/quotes.ts:23; reference/packages/protocol/src/math/transition.ts:43,reference/packages/protocol/tests/math.test.ts:112 enforces economic execution limits separately from previews; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 exit feasibility independent oracle,executed_probe,Onchain checks gross debit <= A and shares <= S; exact successor value preserves fee liability and reserve.,No exit can borrow reserved fees/storage to cover an unsupported gross debit.,Retain upper-bound/low-liquidity cases and node-backed value checks.
C1-041,CTVS-1,6.4,19; 20,"Maximum deposit searches only a prefix-monotone upper-resource predicate, then checks positive issuance.",profile0,aligned,reference/packages/protocol/src/math/limits.ts:30; reference/packages/protocol/src/math/limits.ts:45; reference/packages/protocol/src/math/limits.ts:52,reference/packages/protocol/tests/math.test.ts:154 handles non-prefix positive-output validity without losing a feasible amount; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:85 exhaustive small capacity domains,executed_probe,"Independent exhaustive small domains matched 4032 maxima, including the d=1 false,d=2 true,d=3 true,d=4 false fee/cap example.",No false zero from searching the full non-prefix execution predicate was found.,Retain independent enumeration and publish the distinction from resource feasibility.
C1-042,CTVS-1,6.4,20,"Maximum deposit rejects invalid states, distinguishes disabled/paused from known zero and reports only an economic maximum.",profile0,aligned,reference/packages/protocol/src/math/limits.ts:11; reference/packages/protocol/src/math/limits.ts:21; reference/packages/protocol/src/math/limits.ts:53,reference/packages/protocol/tests/math.test.ts:163 reports unknown construction separately from economic exhaustion or disabled execution,retained_test,"The result distinguishes unavailable with reason, known zero, economic maximum and unknown construction limit.",No transaction-size or liquidity guarantee is inferred from the arithmetic maximum.,Preserve explicit states in the common integration envelope.
C1-043,CTVS-1,6.4,20,"Expose minimum economic size, economic maxima and distinct construction, stale, unsupported and unknown-liquidity statuses.",profile0,partial,reference/packages/protocol/src/types.ts:116; reference/packages/protocol/src/math/limits.ts:6,,source,Only deposit economic maximum is supplied. No economic-minimum API or complete operation-specific limit/status envelope exists. The paper does not mandate ERC method names or provide algorithms for every maximum.,Callers must currently implement parts of the required integration semantics themselves.,Provide bounded economic-minimum results and honest unsupported/unknown statuses for each operation; prove additional maximum algorithms before offering them.
C1-044,CTVS-1,6.4,20,"Cap, pause and disabled execution modes do not alter the conversion equation.",profile0,aligned,reference/packages/protocol/src/math/quotes.ts:29; reference/packages/protocol/src/math/quotes.ts:31; reference/packages/protocol/src/math/transition.ts:4,"docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:68 price equation unchanged by modes, pauses and fees",executed_probe,"2352 independent conversion comparisons held across valid mode, pause and fee combinations. Invalid states still reject before conversion.",Operational restrictions do not silently reprice shares.,Retain conversion invariance as a separate regression from action availability.
C1-045,CTVS-1,7.1,20,"Entry changes backing by net assets, fees by the entry fee and supply by issued shares; custody rises by gross assets.",profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:86; reference/packages/protocol/src/math/transition.ts:43,reference/implementations/ctvs1/onchain/validators/state_test.ak:147 whitepaper_native_deposit_and_real_spend_handler; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 entry conservation equation,executed_probe,Independent transition probes matched all three counters and the physical custody delta.,No fee or reserve is counted twice on entry.,Retain per-asset complete lifecycle traces.
C1-046,CTVS-1,7.1,20,"Exit changes backing by negative gross assets, fees by exit fee and supply by burned shares; custody falls by net payout.",profile0,aligned,reference/implementations/ctvs1/onchain/lib/ctvs1/state.ak:95; reference/packages/protocol/src/math/transition.ts:43,reference/implementations/ctvs1/onchain/validators/state_test.ak:172 whitepaper_redeem_and_fee_collection; docs/reviews/2026-09-18-whitepaper-conformance/probes/c1-economics.ts:20 exit conservation equation,executed_probe,Both equations and successor fields matched independent probes.,Exit fees stay in custody as liabilities while leaving shareholder backing.,Retain independent gross/net conservation vectors.
